               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 167,            0.034696,             0.14508,                   0,             0.99987,                   1,               0.995,             0.80206,            0.034157,             0.20728,                   0,            0.001783,            0.001783,            0.001783
                 168,             0.03405,             0.15391,                   0,             0.99987,                   1,               0.995,             0.81187,            0.033602,              0.2051,                   0,           0.0017335,           0.0017335,           0.0017335
                 169,            0.034284,             0.14961,                   0,             0.99988,                   1,               0.995,             0.81036,            0.033744,             0.20549,                   0,            0.001684,            0.001684,            0.001684
                 170,            0.036564,             0.16724,                   0,             0.99988,                   1,               0.995,             0.81464,             0.03358,             0.20427,                   0,           0.0016345,           0.0016345,           0.0016345
                 171,            0.035625,             0.15446,                   0,             0.99989,                   1,               0.995,             0.81344,            0.033713,             0.20572,                   0,            0.001585,            0.001585,            0.001585
                 172,            0.033447,              0.1514,                   0,             0.99989,                   1,               0.995,             0.81083,            0.033786,             0.20631,                   0,           0.0015355,           0.0015355,           0.0015355
                 173,            0.033095,             0.13491,                   0,             0.99987,                   1,               0.995,             0.81201,             0.03368,             0.20534,                   0,            0.001486,            0.001486,            0.001486
                 174,            0.033166,             0.13921,                   0,             0.99988,                   1,               0.995,             0.81674,            0.033597,             0.20435,                   0,           0.0014365,           0.0014365,           0.0014365
                 175,             0.03537,             0.15265,                   0,             0.99988,                   1,               0.995,             0.81289,            0.033714,             0.20494,                   0,            0.001387,            0.001387,            0.001387
                 176,            0.036146,             0.16247,                   0,             0.99988,                   1,               0.995,             0.81624,            0.033419,             0.20392,                   0,           0.0013375,           0.0013375,           0.0013375
                 177,            0.035693,             0.17621,                   0,             0.99988,                   1,               0.995,             0.81112,            0.033592,             0.20479,                   0,            0.001288,            0.001288,            0.001288
                 178,             0.03438,             0.16826,                   0,             0.99989,                   1,               0.995,             0.81103,            0.033483,              0.2035,                   0,           0.0012385,           0.0012385,           0.0012385
                 179,            0.034416,             0.15316,                   0,              0.9999,                   1,               0.995,             0.81182,            0.033513,             0.20391,                   0,            0.001189,            0.001189,            0.001189
                 180,            0.035135,              0.1593,                   0,             0.99989,                   1,               0.995,             0.81384,            0.033418,             0.20349,                   0,           0.0011395,           0.0011395,           0.0011395
                 181,            0.033051,             0.14906,                   0,              0.9999,                   1,               0.995,             0.81246,            0.033464,             0.20356,                   0,             0.00109,             0.00109,             0.00109
                 182,             0.03636,             0.14879,                   0,              0.9999,                   1,               0.995,             0.80193,            0.034128,             0.20639,                   0,           0.0010405,           0.0010405,           0.0010405
                 183,            0.033357,             0.14321,                   0,             0.99989,                   1,               0.995,             0.80597,            0.033838,             0.20551,                   0,            0.000991,            0.000991,            0.000991
                 184,            0.035971,              0.1568,                   0,              0.9999,                   1,               0.995,             0.80765,            0.033707,             0.20517,                   0,           0.0009415,           0.0009415,           0.0009415
                 185,            0.034114,             0.14895,                   0,              0.9999,                   1,               0.995,             0.81083,            0.033518,              0.2045,                   0,            0.000892,            0.000892,            0.000892
                 186,             0.03408,             0.15513,                   0,             0.99989,                   1,               0.995,             0.81298,             0.03346,             0.20379,                   0,           0.0008425,           0.0008425,           0.0008425
                 187,            0.033896,              0.1447,                   0,             0.99988,                   1,               0.995,              0.8143,            0.033436,             0.20347,                   0,            0.000793,            0.000793,            0.000793
                 188,            0.034422,             0.15847,                   0,             0.99988,                   1,               0.995,             0.81399,            0.033456,             0.20351,                   0,           0.0007435,           0.0007435,           0.0007435
                 189,            0.035251,             0.15637,                   0,             0.99988,                   1,               0.995,             0.81163,             0.03361,             0.20432,                   0,            0.000694,            0.000694,            0.000694
                 190,            0.034225,             0.15652,                   0,             0.99988,                   1,               0.995,             0.81102,            0.033541,             0.20457,                   0,           0.0006445,           0.0006445,           0.0006445
                 191,            0.034951,             0.15051,                   0,             0.99988,                   1,               0.995,              0.8095,            0.033624,               0.206,                   0,            0.000595,            0.000595,            0.000595
                 192,            0.037045,             0.14655,                   0,             0.99989,                   1,               0.995,             0.80904,            0.033637,             0.20613,                   0,           0.0005455,           0.0005455,           0.0005455
                 193,            0.033397,             0.16194,                   0,             0.99989,                   1,               0.995,             0.80842,            0.033616,             0.20587,                   0,            0.000496,            0.000496,            0.000496
                 194,            0.036127,             0.14142,                   0,             0.99989,                   1,               0.995,             0.80929,            0.033597,             0.20501,                   0,           0.0004465,           0.0004465,           0.0004465
                 195,            0.034621,             0.16302,                   0,             0.99989,                   1,               0.995,             0.81117,            0.033544,             0.20471,                   0,            0.000397,            0.000397,            0.000397
                 196,            0.035378,             0.14289,                   0,             0.99988,                   1,               0.995,             0.81049,             0.03356,             0.20487,                   0,           0.0003475,           0.0003475,           0.0003475
                 197,             0.03644,             0.13625,                   0,             0.99988,                   1,               0.995,               0.812,            0.033525,             0.20493,                   0,            0.000298,            0.000298,            0.000298
                 198,            0.033402,             0.14904,                   0,             0.99989,                   1,               0.995,             0.81324,            0.033459,             0.20486,                   0,           0.0002485,           0.0002485,           0.0002485
                 199,            0.033278,             0.14726,                   0,             0.99989,                   1,               0.995,             0.81457,            0.033385,             0.20438,                   0,            0.000199,            0.000199,            0.000199
